ENSMUST00000070533.5	Xkr4-201	ENSMUSG00000051951
ENSMUST00000086690.6	Serpinb7-201	ENSMUSG00000067001
ENSMUST00000009356.11	Serpinb2-201	ENSMUSG00000062345
ENSMUST00000064916.9	Serpinb2-202	ENSMUSG00000062345
ENSMUST00000143832.8	Serpinb2-203	ENSMUSG00000062345
ENSMUST00000146597.2	Serpinb2-204	ENSMUSG00000062345
ENSMUST00000194951.3	Serpinb10-202	ENSMUSG00000092572
ENSMUST00000000514.11	Serpinb8-201	ENSMUSG00000026315
ENSMUST00000112706.4	Serpinb8-202	ENSMUSG00000026315
ENSMUST00000123086.2	Serpinb8-203	ENSMUSG00000026315
ENSMUST00000137092.8	Cdh7-206	ENSMUSG00000026312
ENSMUST00000112701.8	Cdh7-202	ENSMUSG00000026312
ENSMUST00000129923.2	Cdh7-203	ENSMUSG00000026312
ENSMUST00000145188.2	Cdh7-207	ENSMUSG00000026312
ENSMUST00000131464.8	Cdh7-204	ENSMUSG00000026312
ENSMUST00000146282.3	Cdh7-208	ENSMUSG00000026312
ENSMUST00000172005.8	Cdh7-209	ENSMUSG00000026312
ENSMUST00000027542.13	Cdh7-201	ENSMUSG00000026312
ENSMUST00000134301.2	Cdh7-205	ENSMUSG00000026312
ENSMUST00000094626.5	Cdh19-201	ENSMUSG00000047216
ENSMUST00000035462.7	Dsel-201	ENSMUSG00000038702
ENSMUST00000043725.9	Cntnap5a-201	ENSMUSG00000070695
ENSMUST00000179777.3	Gm19965-201	ENSMUSG00000094429
ENSMUST00000186341.2	Gm28363-201	ENSMUSG00000100265
ENSMUST00000188801.2	B020011L13Rik-201	ENSMUSG00000101303
ENSMUST00000187455.2	Gm28360-201	ENSMUSG00000100305
ENSMUST00000191265.2	Gm28168-201	ENSMUSG00000101415
ENSMUST00000185381.2	Gm7145-201	ENSMUSG00000100617
ENSMUST00000186264.2	Gm29106-201	ENSMUSG00000102030
ENSMUST00000027623.9	Tsn-201	ENSMUSG00000026374
ENSMUST00000027626.13	Nifk-201	ENSMUSG00000026377
ENSMUST00000112688.10	Nifk-202	ENSMUSG00000026377
ENSMUST00000161495.2	Nifk-203	ENSMUSG00000026377
ENSMUST00000049404.13	Clasp1-201	ENSMUSG00000064302
ENSMUST00000178710.8	Clasp1-204	ENSMUSG00000064302
ENSMUST00000070989.14	Clasp1-202	ENSMUSG00000064302
ENSMUST00000190571.7	Clasp1-218	ENSMUSG00000064302
ENSMUST00000190733.7	Clasp1-219	ENSMUSG00000064302
ENSMUST00000189738.7	Clasp1-216	ENSMUSG00000064302
ENSMUST00000187713.7	Clasp1-208	ENSMUSG00000064302
ENSMUST00000165223.8	Clasp1-203	ENSMUSG00000064302
ENSMUST00000189570.7	Clasp1-214	ENSMUSG00000064302
ENSMUST00000191445.7	Clasp1-220	ENSMUSG00000064302
ENSMUST00000189262.7	Clasp1-212	ENSMUSG00000064302
ENSMUST00000186349.7	Clasp1-206	ENSMUSG00000064302
ENSMUST00000185405.7	Clasp1-205	ENSMUSG00000064302
ENSMUST00000188710.7	Clasp1-210	ENSMUSG00000064302
ENSMUST00000204904.3	Clasp1-229	ENSMUSG00000064302
ENSMUST00000191823.6	Clasp1-221	ENSMUSG00000064302
ENSMUST00000205176.2	Clasp1-230	ENSMUSG00000064302
ENSMUST00000204325.2	Clasp1-226	ENSMUSG00000064302
ENSMUST00000192387.3	Clasp1-222	ENSMUSG00000064302
ENSMUST00000027629.10	Tfcp2l1-201	ENSMUSG00000026380
ENSMUST00000062483.15	Gli2-201	ENSMUSG00000048402
ENSMUST00000161301.8	Gli2-206	ENSMUSG00000048402
ENSMUST00000162552.8	Gli2-208	ENSMUSG00000048402
ENSMUST00000161056.8	Gli2-205	ENSMUSG00000048402
ENSMUST00000160991.8	Gli2-204	ENSMUSG00000048402
ENSMUST00000159839.8	Gli2-203	ENSMUSG00000048402
ENSMUST00000161451.8	Gli2-207	ENSMUSG00000048402
ENSMUST00000162607.2	Gli2-209	ENSMUSG00000048402
ENSMUST00000038765.6	Inhbb-201	ENSMUSG00000037035
ENSMUST00000004565.15	Ralb-201	ENSMUSG00000004451
ENSMUST00000142945.3	Ralb-202	ENSMUSG00000004451
ENSMUST00000183952.2	Tmem185b-202	ENSMUSG00000098923
ENSMUST00000052404.13	Epb41l5-202	ENSMUSG00000026383
ENSMUST00000163147.8	Epb41l5-203	ENSMUSG00000026383
ENSMUST00000191046.7	Epb41l5-208	ENSMUSG00000026383
ENSMUST00000027632.14	Epb41l5-201	ENSMUSG00000026383
ENSMUST00000187194.2	Epb41l5-205	ENSMUSG00000026383
ENSMUST00000064091.12	Ptpn4-201	ENSMUSG00000026384
ENSMUST00000166624.2	Ptpn4-208	ENSMUSG00000026384
ENSMUST00000163435.8	Ptpn4-203	ENSMUSG00000026384
ENSMUST00000164269.2	Ptpn4-206	ENSMUSG00000026384
ENSMUST00000163179.8	Ptpn4-202	ENSMUSG00000026384
ENSMUST00000168429.8	Ptpn4-210	ENSMUSG00000026384
ENSMUST00000166422.8	Ptpn4-207	ENSMUSG00000026384
ENSMUST00000168303.8	Ptpn4-209	ENSMUSG00000026384
ENSMUST00000164086.8	Ptpn4-205	ENSMUSG00000026384
ENSMUST00000163621.2	Ptpn4-204	ENSMUSG00000026384
ENSMUST00000037906.6	Tmem177-201	ENSMUSG00000036975
ENSMUST00000174370.8	Cfap221-202	ENSMUSG00000036962
ENSMUST00000037840.12	Cfap221-201	ENSMUSG00000036962
ENSMUST00000174458.2	Cfap221-203	ENSMUSG00000036962
ENSMUST00000072886.11	Sctr-201	ENSMUSG00000026387
ENSMUST00000189037.2	Sctr-202	ENSMUSG00000026387
ENSMUST00000056089.8	Tmem37-201	ENSMUSG00000050777
ENSMUST00000027634.13	Dbi-201	ENSMUSG00000026385
ENSMUST00000132118.2	Dbi-204	ENSMUSG00000026385
ENSMUST00000112648.8	Dbi-202	ENSMUSG00000026385
ENSMUST00000151708.3	Dbi-207	ENSMUSG00000026385
ENSMUST00000027637.13	3110009E18Rik-201	ENSMUSG00000026388
ENSMUST00000112644.9	3110009E18Rik-203	ENSMUSG00000026388
ENSMUST00000056038.15	3110009E18Rik-202	ENSMUSG00000026388
ENSMUST00000153037.2	3110009E18Rik-205	ENSMUSG00000026388
ENSMUST00000140490.8	Steap3-205	ENSMUSG00000026389
ENSMUST00000112641.8	Steap3-203	ENSMUSG00000026389
ENSMUST00000112640.8	Steap3-202	ENSMUSG00000026389
ENSMUST00000112639.8	Steap3-201	ENSMUSG00000026389
ENSMUST00000112643.2	Steap3-204	ENSMUSG00000026389
ENSMUST00000037286.12	C1ql2-201	ENSMUSG00000036907
ENSMUST00000027639.8	Marco-201	ENSMUSG00000026390
ENSMUST00000186432.3	Marco-202	ENSMUSG00000026390
ENSMUST00000079721.9	En1-201	ENSMUSG00000058665
ENSMUST00000003818.14	Insig2-201	ENSMUSG00000003721
ENSMUST00000071064.13	Insig2-202	ENSMUSG00000003721
ENSMUST00000160968.8	Insig2-208	ENSMUSG00000003721
ENSMUST00000159085.8	Insig2-203	ENSMUSG00000003721
ENSMUST00000186915.2	Insig2-214	ENSMUSG00000003721
ENSMUST00000160688.2	Insig2-207	ENSMUSG00000003721
ENSMUST00000162582.2	Insig2-212	ENSMUSG00000003721
ENSMUST00000162790.2	Insig2-213	ENSMUSG00000003721
ENSMUST00000159125.2	Insig2-204	ENSMUSG00000003721
ENSMUST00000161818.2	Insig2-210	ENSMUSG00000003721
ENSMUST00000161068.2	Insig2-209	ENSMUSG00000003721
ENSMUST00000036025.16	Ccdc93-201	ENSMUSG00000026339
ENSMUST00000112621.2	Ccdc93-202	ENSMUSG00000026339
ENSMUST00000055884.8	Htr5b-201	ENSMUSG00000050534
ENSMUST00000001724.12	Ddx18-201	ENSMUSG00000001674
ENSMUST00000134417.3	Ddx18-203	ENSMUSG00000001674
ENSMUST00000112606.8	Dpp10-202	ENSMUSG00000036815
ENSMUST00000112603.4	Dpp10-201	ENSMUSG00000036815
ENSMUST00000239072.2	Dpp10-206	ENSMUSG00000036815
ENSMUST00000027579.17	Actr3-201	ENSMUSG00000026341
ENSMUST00000178474.8	Actr3-202	ENSMUSG00000026341
ENSMUST00000191578.7	Actr3-212	ENSMUSG00000026341
ENSMUST00000188497.7	Actr3-207	ENSMUSG00000026341
ENSMUST00000191544.7	Actr3-211	ENSMUSG00000026341
ENSMUST00000191004.7	Actr3-210	ENSMUSG00000026341
ENSMUST00000187460.7	Actr3-205	ENSMUSG00000026341
ENSMUST00000185280.2	Actr3-203	ENSMUSG00000026341
ENSMUST00000190037.7	Slc35f5-203	ENSMUSG00000026342
ENSMUST00000027580.11	Slc35f5-201	ENSMUSG00000026342
ENSMUST00000189443.2	Slc35f5-202	ENSMUSG00000026342
ENSMUST00000027581.7	Gpr39-201	ENSMUSG00000026343
ENSMUST00000159417.2	Lypd1-202	ENSMUSG00000026344
ENSMUST00000162899.8	Lypd1-205	ENSMUSG00000026344
ENSMUST00000027582.10	Lypd1-201	ENSMUSG00000026344
ENSMUST00000159529.2	Lypd1-203	ENSMUSG00000026344
ENSMUST00000161361.3	Lypd1-204	ENSMUSG00000026344
ENSMUST00000161954.8	Nckap5-208	ENSMUSG00000049690
ENSMUST00000112583.8	Nckap5-204	ENSMUSG00000049690
ENSMUST00000094609.10	Nckap5-202	ENSMUSG00000049690
ENSMUST00000162877.8	Nckap5-212	ENSMUSG00000049690
ENSMUST00000057846.15	Nckap5-201	ENSMUSG00000049690
ENSMUST00000094610.5	Nckap5-203	ENSMUSG00000049690
ENSMUST00000162646.8	Nckap5-209	ENSMUSG00000049690
ENSMUST00000160693.2	Nckap5-206	ENSMUSG00000049690
ENSMUST00000038361.11	Mgat5-201	ENSMUSG00000036155
ENSMUST00000171405.2	Mgat5-202	ENSMUSG00000036155
ENSMUST00000027585.14	Tmem163-201	ENSMUSG00000026347
ENSMUST00000160616.8	Tmem163-203	ENSMUSG00000026347
ENSMUST00000185560.2	Tmem163-205	ENSMUSG00000026347
ENSMUST00000038006.8	Acmsd-201	ENSMUSG00000026348
ENSMUST00000112570.2	Ccnt2-202	ENSMUSG00000026349
ENSMUST00000027587.15	Ccnt2-201	ENSMUSG00000026349
ENSMUST00000208183.3	Map3k19-205	ENSMUSG00000051590
ENSMUST00000238383.2	Map3k19-206	ENSMUSG00000051590
ENSMUST00000189398.8	Map3k19-203	ENSMUSG00000051590
ENSMUST00000191333.8	Map3k19-204	ENSMUSG00000051590
ENSMUST00000187653.8	Map3k19-202	ENSMUSG00000051590
ENSMUST00000061512.5	Map3k19-201	ENSMUSG00000051590
ENSMUST00000037649.6	Rab3gap1-201	ENSMUSG00000036104
ENSMUST00000212506.2	Rab3gap1-207	ENSMUSG00000036104
ENSMUST00000086614.12	Zranb3-201	ENSMUSG00000036086
ENSMUST00000112538.4	Zranb3-203	ENSMUSG00000036086
ENSMUST00000188381.7	R3hdm1-209	ENSMUSG00000056211
ENSMUST00000187900.7	R3hdm1-208	ENSMUSG00000056211
ENSMUST00000036288.11	R3hdm1-201	ENSMUSG00000056211
ENSMUST00000187023.7	R3hdm1-205	ENSMUSG00000056211
ENSMUST00000187557.2	R3hdm1-206	ENSMUSG00000056211
ENSMUST00000189317.3	R3hdm1-211	ENSMUSG00000056211
ENSMUST00000185853.7	R3hdm1-204	ENSMUSG00000056211
ENSMUST00000190056.3	R3hdm1-213	ENSMUSG00000056211
ENSMUST00000190736.7	Ubxn4-204	ENSMUSG00000026353
ENSMUST00000027592.6	Ubxn4-201	ENSMUSG00000026353
ENSMUST00000073490.7	Lct-201	ENSMUSG00000026354
ENSMUST00000027601.11	Mcm6-201	ENSMUSG00000026355
ENSMUST00000190495.2	Mcm6-203	ENSMUSG00000026355
ENSMUST00000027602.15	Dars-201	ENSMUSG00000026356
ENSMUST00000064309.9	Dars-202	ENSMUSG00000026356
ENSMUST00000052172.7	Cxcr4-201	ENSMUSG00000045382
ENSMUST00000142893.2	Cxcr4-202	ENSMUSG00000045382
ENSMUST00000073527.13	Thsd7b-202	ENSMUSG00000042581
ENSMUST00000040311.14	Thsd7b-201	ENSMUSG00000042581
ENSMUST00000152305.3	Thsd7b-208	ENSMUSG00000042581
ENSMUST00000112488.9	Cd55b-201	ENSMUSG00000026401
ENSMUST00000119432.2	Cd55b-202	ENSMUSG00000026401
ENSMUST00000027650.13	Cd55-201	ENSMUSG00000026399
ENSMUST00000140400.2	Cd55-204	ENSMUSG00000026399
ENSMUST00000039862.11	Zp3r-201	ENSMUSG00000042554
ENSMUST00000128128.8	Zp3r-202	ENSMUSG00000042554
ENSMUST00000142416.2	Zp3r-203	ENSMUSG00000042554
ENSMUST00000027657.14	C4bp-201	ENSMUSG00000026405
ENSMUST00000171642.8	C4bp-203	ENSMUSG00000026405
ENSMUST00000137276.3	C4bp-202	ENSMUSG00000026405
ENSMUST00000188520.2	Gm29427-201	ENSMUSG00000101904
ENSMUST00000171479.8	Pfkfb2-204	ENSMUSG00000026409
ENSMUST00000066863.13	Pfkfb2-202	ENSMUSG00000026409
ENSMUST00000185233.7	Pfkfb2-205	ENSMUSG00000026409
ENSMUST00000189534.7	Pfkfb2-211	ENSMUSG00000026409
ENSMUST00000189167.7	Pfkfb2-210	ENSMUSG00000026409
ENSMUST00000187089.7	Pfkfb2-208	ENSMUSG00000026409
ENSMUST00000191347.7	Pfkfb2-213	ENSMUSG00000026409
ENSMUST00000169659.8	Pfkfb2-203	ENSMUSG00000026409
ENSMUST00000050406.11	Pfkfb2-201	ENSMUSG00000026409
ENSMUST00000186867.7	Pfkfb2-207	ENSMUSG00000026409
ENSMUST00000191301.2	Pfkfb2-212	ENSMUSG00000026409
ENSMUST00000186777.2	Pfkfb2-206	ENSMUSG00000026409
ENSMUST00000049813.6	Yod1-201	ENSMUSG00000046404
ENSMUST00000039323.8	AA986860-201	ENSMUSG00000042510
ENSMUST00000112477.9	Fcamr-202	ENSMUSG00000026415
ENSMUST00000027670.4	Fcamr-201	ENSMUSG00000026415
ENSMUST00000027675.14	Pigr-201	ENSMUSG00000026417
ENSMUST00000133792.8	Pigr-202	ENSMUSG00000026417
ENSMUST00000137782.2	Pigr-203	ENSMUSG00000026417
ENSMUST00000038829.7	Fcmr-201	ENSMUSG00000042474
ENSMUST00000187650.7	Il24-202	ENSMUSG00000026420
ENSMUST00000121040.8	Il24-201	ENSMUSG00000026420
ENSMUST00000191279.2	Il24-204	ENSMUSG00000026420
ENSMUST00000188148.3	Il24-203	ENSMUSG00000026420
ENSMUST00000027673.11	Il20-201	ENSMUSG00000026416
ENSMUST00000188581.2	Il20-202	ENSMUSG00000026416
ENSMUST00000187410.7	Il19-203	ENSMUSG00000016524
ENSMUST00000016668.13	Il19-201	ENSMUSG00000016524
ENSMUST00000187916.7	Il19-204	ENSMUSG00000016524
ENSMUST00000112465.2	Il19-202	ENSMUSG00000016524
ENSMUST00000016673.6	Il10-201	ENSMUSG00000016529
ENSMUST00000016672.11	Mapkapk2-201	ENSMUSG00000016528
ENSMUST00000188459.4	Mapkapk2-202	ENSMUSG00000016528
ENSMUST00000016670.9	Dyrk3-201	ENSMUSG00000016526
ENSMUST00000189756.2	Dyrk3-202	ENSMUSG00000016526
ENSMUST00000112446.9	Eif2d-203	ENSMUSG00000026427
ENSMUST00000068805.14	Eif2d-202	ENSMUSG00000026427
ENSMUST00000149119.8	Eif2d-206	ENSMUSG00000026427
ENSMUST00000151874.8	Eif2d-207	ENSMUSG00000026427
ENSMUST00000068791.11	Eif2d-201	ENSMUSG00000026427
ENSMUST00000131855.2	Eif2d-204	ENSMUSG00000026427
ENSMUST00000068564.15	Rassf5-202	ENSMUSG00000026430
ENSMUST00000027688.15	Rassf5-201	ENSMUSG00000026430
ENSMUST00000112442.2	Rassf5-203	ENSMUSG00000026430
ENSMUST00000212202.2	Rassf5-205	ENSMUSG00000026430
ENSMUST00000062108.10	Ikbke-201	ENSMUSG00000042349
ENSMUST00000161764.8	Ikbke-204	ENSMUSG00000042349
ENSMUST00000159195.2	Ikbke-202	ENSMUSG00000042349
ENSMUST00000097588.9	Srgap2-201	ENSMUSG00000026425
ENSMUST00000187042.7	Srgap2-205	ENSMUSG00000026425
ENSMUST00000186543.7	Srgap2-204	ENSMUSG00000026425
ENSMUST00000188770.7	Srgap2-209	ENSMUSG00000026425
ENSMUST00000185596.2	Srgap2-203	ENSMUSG00000026425
ENSMUST00000185445.3	Srgap2-202	ENSMUSG00000026425
ENSMUST00000187273.3	Srgap2-206	ENSMUSG00000026425
ENSMUST00000068613.5	Fam72a-201	ENSMUSG00000055184
ENSMUST00000027690.7	Avpr1b-201	ENSMUSG00000026432
ENSMUST00000190410.2	Avpr1b-202	ENSMUSG00000026432
ENSMUST00000073350.13	Ctse-201	ENSMUSG00000004552
ENSMUST00000112411.2	Ctse-202	ENSMUSG00000004552
ENSMUST00000064679.9	Rab7b-202	ENSMUSG00000052688
ENSMUST00000064664.10	Rab7b-201	ENSMUSG00000052688
ENSMUST00000136247.8	Rab7b-205	ENSMUSG00000052688
ENSMUST00000129905.2	Rab7b-203	ENSMUSG00000052688
ENSMUST00000049027.10	Slc26a9-201	ENSMUSG00000042268
ENSMUST00000186122.7	Slc26a9-204	ENSMUSG00000042268
ENSMUST00000147800.2	Slc26a9-203	ENSMUSG00000042268
ENSMUST00000112393.9	Pm20d1-202	ENSMUSG00000042251
ENSMUST00000048660.12	Pm20d1-201	ENSMUSG00000042251
ENSMUST00000152989.2	Pm20d1-204	ENSMUSG00000042251
ENSMUST00000086559.7	Slc41a1-201	ENSMUSG00000013275
ENSMUST00000112386.8	Rab29-202	ENSMUSG00000026433
ENSMUST00000027693.8	Rab29-201	ENSMUSG00000026433
ENSMUST00000125925.2	Rab29-203	ENSMUSG00000026433
ENSMUST00000189946.7	Nucks1-203	ENSMUSG00000026434
ENSMUST00000062264.8	Nucks1-201	ENSMUSG00000026434
ENSMUST00000177943.8	Slc45a3-202	ENSMUSG00000026435
ENSMUST00000027695.8	Slc45a3-201	ENSMUSG00000026435
ENSMUST00000190322.2	Slc45a3-204	ENSMUSG00000026435
ENSMUST00000086556.12	Elk4-202	ENSMUSG00000026436
ENSMUST00000027696.10	Elk4-201	ENSMUSG00000026436
ENSMUST00000146432.2	Elk4-206	ENSMUSG00000026436
ENSMUST00000147218.2	Elk4-207	ENSMUSG00000026436
ENSMUST00000126927.8	Mfsd4a-204	ENSMUSG00000059149
ENSMUST00000112370.9	Mfsd4a-203	ENSMUSG00000059149
ENSMUST00000160656.8	Mfsd4a-209	ENSMUSG00000059149
ENSMUST00000144548.9	Mfsd4a-205	ENSMUSG00000059149
ENSMUST00000146267.8	Mfsd4a-206	ENSMUSG00000059149
ENSMUST00000046658.10	Mfsd4a-201	ENSMUSG00000059149
ENSMUST00000159038.8	Mfsd4a-207	ENSMUSG00000059149
ENSMUST00000112365.9	Mfsd4a-202	ENSMUSG00000059149
ENSMUST00000161864.2	Mfsd4a-210	ENSMUSG00000059149
ENSMUST00000162628.2	Mfsd4a-211	ENSMUSG00000059149
ENSMUST00000027697.12	Cdk18-201	ENSMUSG00000026437
ENSMUST00000112362.3	Cdk18-202	ENSMUSG00000026437
ENSMUST00000185601.2	Cdk18-203	ENSMUSG00000026437
ENSMUST00000188169.7	Lemd1-204	ENSMUSG00000079330
ENSMUST00000112357.9	Lemd1-201	ENSMUSG00000079330
ENSMUST00000185436.7	Lemd1-202	ENSMUSG00000079330
ENSMUST00000187339.7	Lemd1-203	ENSMUSG00000079330
ENSMUST00000191418.2	Lemd1-206	ENSMUSG00000079330
ENSMUST00000188175.2	Gm29695-202	ENSMUSG00000118219
ENSMUST00000189062.2	Gm29695-203	ENSMUSG00000118219
ENSMUST00000185223.2	Gm29695-201	ENSMUSG00000118219
ENSMUST00000086544.5	Gm10188-201	ENSMUSG00000066936
ENSMUST00000046071.5	Klhdc8a-201	ENSMUSG00000042115
ENSMUST00000072177.14	Nuak2-201	ENSMUSG00000009772
ENSMUST00000082125.6	Nuak2-202	ENSMUSG00000009772
ENSMUST00000045473.16	Tmcc2-201	ENSMUSG00000042066
ENSMUST00000136828.3	Tmcc2-204	ENSMUSG00000042066
ENSMUST00000142609.8	Tmcc2-206	ENSMUSG00000042066
ENSMUST00000132435.2	Tmcc2-203	ENSMUSG00000042066
ENSMUST00000045110.14	Dstyk-201	ENSMUSG00000042046
ENSMUST00000188389.2	Dstyk-204	ENSMUSG00000042046
ENSMUST00000187092.2	Dstyk-202	ENSMUSG00000042046
ENSMUST00000190825.7	Rbbp5-206	ENSMUSG00000026439
ENSMUST00000190997.7	Rbbp5-207	ENSMUSG00000026439
ENSMUST00000187505.7	Rbbp5-202	ENSMUSG00000026439
ENSMUST00000027700.15	Rbbp5-201	ENSMUSG00000026439
ENSMUST00000188575.7	Rbbp5-204	ENSMUSG00000026439
ENSMUST00000189786.3	Rbbp5-205	ENSMUSG00000026439
ENSMUST00000058167.3	Tmem81-201	ENSMUSG00000048174
ENSMUST00000188789.2	Tmem81-202	ENSMUSG00000048174
ENSMUST00000189528.7	Cntn2-207	ENSMUSG00000053024
ENSMUST00000188065.7	Cntn2-204	ENSMUSG00000053024
ENSMUST00000086521.11	Cntn2-201	ENSMUSG00000053024
ENSMUST00000188943.2	Cntn2-206	ENSMUSG00000053024
ENSMUST00000186530.3	Cntn2-203	ENSMUSG00000053024
ENSMUST00000094569.11	Nfasc-202	ENSMUSG00000026442
ENSMUST00000043189.14	Nfasc-201	ENSMUSG00000026442
ENSMUST00000187861.7	Nfasc-207	ENSMUSG00000026442
ENSMUST00000163770.8	Nfasc-203	ENSMUSG00000026442
ENSMUST00000186389.7	Nfasc-205	ENSMUSG00000026442
ENSMUST00000188307.2	Nfasc-208	ENSMUSG00000026442
ENSMUST00000027706.4	Lrrn2-201	ENSMUSG00000026443
ENSMUST00000186617.7	Mdm4-206	ENSMUSG00000054387
ENSMUST00000188090.7	Mdm4-210	ENSMUSG00000054387
ENSMUST00000067429.10	Mdm4-202	ENSMUSG00000054387
ENSMUST00000191212.7	Mdm4-214	ENSMUSG00000054387
ENSMUST00000185398.7	Mdm4-203	ENSMUSG00000054387
ENSMUST00000067398.13	Mdm4-201	ENSMUSG00000054387
ENSMUST00000190807.2	Mdm4-213	ENSMUSG00000054387
ENSMUST00000153707.8	Pik3c2b-204	ENSMUSG00000026447
ENSMUST00000077730.7	Pik3c2b-201	ENSMUSG00000026447
ENSMUST00000239467.2	Pik3c2b-205	ENSMUSG00000026447
ENSMUST00000052529.4	Ppp1r15b-201	ENSMUSG00000046062
ENSMUST00000212252.2	Plekha6-212	ENSMUSG00000041757
ENSMUST00000187285.7	Plekha6-204	ENSMUSG00000041757
ENSMUST00000105082.9	Plekha6-202	ENSMUSG00000041757
ENSMUST00000038295.15	Plekha6-201	ENSMUSG00000041757
ENSMUST00000239123.2	Plekha6-213	ENSMUSG00000041757
ENSMUST00000186917.7	Plekha6-203	ENSMUSG00000041757
ENSMUST00000190186.7	Plekha6-207	ENSMUSG00000041757
ENSMUST00000187299.2	Plekha6-205	ENSMUSG00000041757
ENSMUST00000189598.2	Plekha6-206	ENSMUSG00000041757
ENSMUST00000094557.7	Golt1a-201	ENSMUSG00000103421
ENSMUST00000192465.2	Golt1a-202	ENSMUSG00000103421
ENSMUST00000193888.6	Gm28040-203	ENSMUSG00000115958
ENSMUST00000194044.6	Gm28040-204	ENSMUSG00000115958
ENSMUST00000195286.5	Gm28040-205	ENSMUSG00000115958
ENSMUST00000184603.8	Gm28040-202	ENSMUSG00000098306
ENSMUST00000183489.4	Gm28040-201	ENSMUSG00000098306
ENSMUST00000007433.5	Kiss1-201	ENSMUSG00000116158
ENSMUST00000178033.5	Kiss1-202	ENSMUSG00000116158
ENSMUST00000094556.3	Ren1-201	ENSMUSG00000070645
ENSMUST00000112287.2	Ren1-202	ENSMUSG00000070645
ENSMUST00000135222.9	Etnk2-203	ENSMUSG00000070644
ENSMUST00000129213.2	Etnk2-201	ENSMUSG00000070644
ENSMUST00000144386.8	Sox13-203	ENSMUSG00000070643
ENSMUST00000153799.8	Sox13-205	ENSMUSG00000070643
ENSMUST00000094551.5	Sox13-201	ENSMUSG00000070643
ENSMUST00000166915.8	Snrpe-204	ENSMUSG00000090553
ENSMUST00000166291.8	Snrpe-203	ENSMUSG00000090553
ENSMUST00000172079.2	Snrpe-206	ENSMUSG00000090553
ENSMUST00000164096.2	Snrpe-201	ENSMUSG00000090553
ENSMUST00000171264.2	Snrpe-205	ENSMUSG00000090553
ENSMUST00000164574.2	Snrpe-202	ENSMUSG00000090553
ENSMUST00000191896.6	Zc3h11a-203	ENSMUSG00000102976
ENSMUST00000195669.2	Zc3h11a-212	ENSMUSG00000102976
ENSMUST00000195424.6	Zc3h11a-211	ENSMUSG00000102976
ENSMUST00000194668.6	Zc3h11a-209	ENSMUSG00000102976
ENSMUST00000193504.6	Zc3h11a-208	ENSMUSG00000102976
ENSMUST00000195067.2	Zc3h11a-210	ENSMUSG00000102976
ENSMUST00000027736.13	Zc3h11a-213	ENSMUSG00000116275
ENSMUST00000179598.4	Zbed6-201	ENSMUSG00000094410
ENSMUST00000169295.8	Lax1-201	ENSMUSG00000051998
ENSMUST00000189524.2	Lax1-202	ENSMUSG00000051998
ENSMUST00000143567.8	Atp2b4-206	ENSMUSG00000026463
ENSMUST00000167348.2	Atp2b4-208	ENSMUSG00000026463
ENSMUST00000048953.14	Atp2b4-201	ENSMUSG00000026463
ENSMUST00000165602.9	Atp2b4-207	ENSMUSG00000026463
ENSMUST00000125659.8	Atp2b4-203	ENSMUSG00000026463
ENSMUST00000112264.2	Atp2b4-202	ENSMUSG00000026463
ENSMUST00000124051.9	Optc-201	ENSMUSG00000010311
ENSMUST00000153617.9	Optc-205	ENSMUSG00000010311
ENSMUST00000149380.8	Optc-204	ENSMUSG00000010311
ENSMUST00000126123.2	Optc-203	ENSMUSG00000010311
ENSMUST00000048432.6	Prelp-201	ENSMUSG00000041577
ENSMUST00000048183.8	Fmod-201	ENSMUSG00000041559
ENSMUST00000162779.2	Fmod-202	ENSMUSG00000041559
ENSMUST00000020692.7	Btg2-201	ENSMUSG00000020423
ENSMUST00000159963.8	Chit1-202	ENSMUSG00000026450
ENSMUST00000160060.8	Chit1-203	ENSMUSG00000026450
ENSMUST00000086475.3	Chit1-201	ENSMUSG00000026450
ENSMUST00000156873.8	Chil1-208	ENSMUSG00000064246
ENSMUST00000082060.10	Chil1-201	ENSMUSG00000064246
ENSMUST00000153856.8	Chil1-207	ENSMUSG00000064246
ENSMUST00000133701.8	Chil1-203	ENSMUSG00000064246
ENSMUST00000132873.8	Chil1-202	ENSMUSG00000064246
ENSMUST00000038445.13	Mybph-201	ENSMUSG00000042451
ENSMUST00000191577.2	Mybph-202	ENSMUSG00000042451
ENSMUST00000169927.2	Adora1-203	ENSMUSG00000042429
ENSMUST00000086465.6	Adora1-202	ENSMUSG00000042429
ENSMUST00000038191.8	Adora1-201	ENSMUSG00000042429
ENSMUST00000187631.2	Adora1-204	ENSMUSG00000042429
ENSMUST00000027730.6	Myog-201	ENSMUSG00000026459
ENSMUST00000168515.8	Ppfia4-201	ENSMUSG00000026458
ENSMUST00000186730.7	Ppfia4-203	ENSMUSG00000026458
ENSMUST00000189361.2	Ppfia4-205	ENSMUSG00000026458
ENSMUST00000049470.11	Tmem183a-201	ENSMUSG00000042305
ENSMUST00000191237.7	Tmem183a-205	ENSMUSG00000042305
ENSMUST00000185903.2	Tmem183a-202	ENSMUSG00000042305
ENSMUST00000162187.2	Mgat4f-201	ENSMUSG00000050526
ENSMUST00000154237.8	Cyb5r1-205	ENSMUSG00000026456
ENSMUST00000027726.14	Cyb5r1-201	ENSMUSG00000026456
